Timestamp	Speed (kmph)	Throttle	Steering	Brake	Gear	ImageName
1584734816202	17	0.0000	0.0000	0.0000	0	img_0_1584734816202.png
1584734816206	16	0.0000	0.0000	0.0000	0	img_1_1584734816206.png
1584734816207	16	0.0000	0.0000	0.0000	0	img_2_1584734816207.png
1584734816209	16	0.0000	0.0000	0.0000	0	img_3_1584734816209.png
1584734816210	16	0.0000	0.0000	0.0000	0	img_4_1584734816210.png
1584734816211	16	0.0000	0.0000	0.0000	0	img_5_1584734816211.png
1584734816212	16	0.0000	0.0000	0.0000	0	img_6_1584734816212.png
1584734816214	16	0.0000	0.0000	0.0000	0	img_7_1584734816214.png
1584734816215	16	0.0000	0.0000	0.0000	0	img_8_1584734816215.png
1584734816719	16	0.0000	0.0000	0.0000	0	img_9_1584734816719.png
1584734816722	16	0.0000	0.0000	0.0000	0	img_10_1584734816722.png
1584734816723	16	0.1792	0.0000	0.1792	0	img_11_1584734816723.png
1584734816726	16	0.3466	0.0000	0.3466	0	img_12_1584734816726.png
1584734816731	16	0.5449	0.0000	0.5449	0	img_13_1584734816731.png
1584734816735	16	0.7072	0.0000	0.7072	0	img_14_1584734816735.png
1584734816738	17	0.8509	0.0000	0.8509	0	img_15_1584734816738.png
1584734816740	18	1.0000	0.0000	1.0000	0	img_16_1584734816740.png
1584734816741	19	1.0000	0.0000	1.0000	0	img_17_1584734816741.png
1584734817243	19	1.0000	0.0000	1.0000	0	img_18_1584734817243.png
1584734817247	20	1.0000	0.0000	1.0000	0	img_19_1584734817247.png
1584734817249	21	1.0000	0.0000	1.0000	0	img_20_1584734817249.png
1584734817250	21	1.0000	0.0000	1.0000	0	img_21_1584734817250.png
1584734817252	22	1.0000	0.0000	1.0000	0	img_22_1584734817252.png
1584734817253	23	1.0000	0.0000	1.0000	0	img_23_1584734817253.png
1584734817254	24	1.0000	0.0000	1.0000	0	img_24_1584734817254.png
1584734817255	24	1.0000	0.0000	1.0000	0	img_25_1584734817255.png
1584734817256	25	1.0000	0.0000	1.0000	0	img_26_1584734817256.png
1584734817758	26	1.0000	0.0000	1.0000	0	img_27_1584734817758.png
1584734817760	26	1.0000	0.0000	1.0000	0	img_28_1584734817760.png
1584734817763	27	0.8175	0.0000	0.8175	0	img_29_1584734817763.png
1584734817831	28	0.6026	0.0000	0.6026	0	img_30_1584734817831.png
1584734817833	28	0.3968	0.0000	0.3968	0	img_31_1584734817833.png
1584734817834	28	0.1560	0.0000	0.1560	0	img_32_1584734817834.png
1584734817835	28	0.0000	0.0000	0.0000	0	img_33_1584734817835.png
1584734817836	28	0.0000	0.0000	0.0000	0	img_34_1584734817836.png
1584734818338	28	0.0000	0.0000	0.0000	0	img_35_1584734818338.png
1584734818340	27	0.0000	-0.2934	0.0000	0	img_36_1584734818340.png
1584734818342	27	0.0000	-0.5245	0.0000	0	img_37_1584734818342.png
1584734818344	27	0.0000	-0.6784	0.0000	0	img_38_1584734818344.png
1584734818345	26	0.0000	-0.8593	0.0000	0	img_39_1584734818345.png
1584734818347	26	0.0000	-1.0000	0.0000	0	img_40_1584734818347.png
1584734818349	25	0.0000	-0.9620	0.0000	0	img_41_1584734818349.png
1584734818350	25	0.0000	-0.7959	0.0000	0	img_42_1584734818350.png
1584734818352	24	0.0000	-0.6419	0.0000	0	img_43_1584734818352.png
1584734818855	24	0.0000	-0.4852	0.0000	0	img_44_1584734818855.png
1584734818858	24	0.0000	-0.3292	0.0000	0	img_45_1584734818858.png
1584734818860	24	0.0000	-0.1595	0.0000	0	img_46_1584734818860.png
1584734818862	24	0.0000	-0.0058	0.0000	0	img_47_1584734818862.png
1584734818864	24	0.0000	0.0000	0.0000	0	img_48_1584734818864.png
1584734818865	24	0.0000	0.0000	0.0000	0	img_49_1584734818865.png
1584734818867	23	0.1434	0.0000	0.1434	0	img_50_1584734818867.png
1584734818868	24	0.3606	0.0000	0.3606	0	img_51_1584734818868.png
1584734818869	24	0.5299	0.0000	0.5299	0	img_52_1584734818869.png
1584734819370	24	0.7089	0.0000	0.7089	0	img_53_1584734819370.png
1584734819371	25	0.8769	0.0000	0.8769	0	img_54_1584734819371.png
1584734819372	25	0.9958	0.0000	0.9958	0	img_55_1584734819372.png
1584734819373	26	1.0000	0.0000	1.0000	0	img_56_1584734819373.png
1584734819374	26	1.0000	0.0000	1.0000	0	img_57_1584734819374.png
1584734819375	27	0.8819	0.0000	0.8819	0	img_58_1584734819375.png
1584734819376	28	0.7260	0.0000	0.7260	0	img_59_1584734819376.png
1584734819378	28	0.5318	0.0000	0.5318	0	img_60_1584734819378.png
1584734819380	28	0.3523	-0.0957	0.3523	0	img_61_1584734819380.png
1584734819882	28	0.1731	-0.2750	0.1731	0	img_62_1584734819882.png
1584734819883	28	0.0047	-0.4433	0.0047	0	img_63_1584734819883.png
1584734819884	28	0.0000	-0.6004	0.0000	0	img_64_1584734819884.png
1584734819886	28	0.0000	-0.7930	0.0000	0	img_65_1584734819886.png
1584734819887	27	0.0000	-0.9847	0.0000	0	img_66_1584734819887.png
1584734819888	27	0.0000	-0.8536	0.0000	0	img_67_1584734819888.png
1584734819890	26	0.0000	-0.6991	0.0000	0	img_68_1584734819890.png
1584734819891	26	0.0000	-0.4931	0.0000	0	img_69_1584734819891.png
1584734819893	26	0.0000	-0.3254	0.0000	0	img_70_1584734819893.png
1584734819894	26	0.1572	-0.1682	0.1572	0	img_71_1584734819894.png
1584734820396	26	0.3234	-0.0020	0.3234	0	img_72_1584734820396.png
1584734820399	26	0.4917	0.0000	0.4917	0	img_73_1584734820399.png
1584734820400	26	0.6586	0.0000	0.6586	0	img_74_1584734820400.png
1584734820403	27	0.8257	0.0000	0.8257	0	img_75_1584734820403.png
1584734820404	27	0.9954	0.0000	0.9954	0	img_76_1584734820404.png
1584734820408	28	1.0000	0.0000	1.0000	0	img_77_1584734820408.png
1584734820410	28	1.0000	0.0000	1.0000	0	img_78_1584734820410.png
1584734820411	29	1.0000	0.0000	1.0000	0	img_79_1584734820411.png
1584734820413	30	1.0000	0.0000	1.0000	0	img_80_1584734820413.png
1584734820916	30	1.0000	0.0000	1.0000	0	img_81_1584734820916.png
1584734820918	31	1.0000	0.0000	1.0000	0	img_82_1584734820918.png
1584734820919	32	1.0000	0.0000	1.0000	0	img_83_1584734820919.png
1584734820921	32	0.8454	0.0000	0.8454	0	img_84_1584734820921.png
1584734820922	33	0.6790	0.0000	0.6790	0	img_85_1584734820922.png
1584734820923	33	0.5447	0.0000	0.5447	0	img_86_1584734820923.png
1584734820924	33	0.4203	0.0000	0.4203	0	img_87_1584734820924.png
1584734820925	33	0.5852	0.0000	0.5852	0	img_88_1584734820925.png
1584734820927	34	0.7404	0.0000	0.7404	0	img_89_1584734820927.png
1584734820930	34	0.8609	0.0000	0.8609	0	img_90_1584734820930.png
1584734821432	35	1.0000	0.0000	1.0000	0	img_91_1584734821432.png
1584734821434	35	1.0000	0.0000	1.0000	0	img_92_1584734821434.png
1584734821435	36	1.0000	0.0000	1.0000	0	img_93_1584734821435.png
1584734821436	37	1.0000	0.0000	1.0000	0	img_94_1584734821436.png
1584734821438	37	0.8312	0.0000	0.8312	0	img_95_1584734821438.png
1584734821439	38	0.6628	0.0000	0.6628	0	img_96_1584734821439.png
1584734821440	38	0.5327	0.0000	0.5327	0	img_97_1584734821440.png
1584734821442	38	0.3155	0.0000	0.3155	0	img_98_1584734821442.png
1584734821443	38	0.1592	0.0000	0.1592	0	img_99_1584734821443.png
1584734821946	38	0.0291	0.0000	0.0291	0	img_100_1584734821946.png
1584734821948	38	0.0000	0.0000	0.0000	0	img_101_1584734821948.png
1584734821952	38	0.0000	0.0000	0.0000	0	img_102_1584734821952.png
1584734821954	38	0.0000	0.0000	0.0000	0	img_103_1584734821954.png
1584734821955	37	0.0000	-0.1806	0.0000	0	img_104_1584734821955.png
1584734821957	37	0.0000	-0.3602	0.0000	0	img_105_1584734821957.png
1584734821958	37	0.0000	-0.5401	0.0000	0	img_106_1584734821958.png
1584734821960	36	0.0000	-0.7336	0.0000	0	img_107_1584734821960.png
1584734822462	36	0.0000	-0.9243	0.0000	0	img_108_1584734822462.png
1584734822465	35	0.0000	-1.0000	0.0000	0	img_109_1584734822465.png
1584734822467	34	0.0000	-1.0000	0.0000	0	img_110_1584734822467.png
1584734822473	34	0.0000	-0.8081	0.0000	0	img_111_1584734822473.png
1584734822475	33	0.0000	-0.6383	0.0000	0	img_112_1584734822475.png
1584734822477	33	0.0000	-0.5095	0.0000	0	img_113_1584734822477.png
1584734822479	32	0.0000	-0.2916	0.0000	0	img_114_1584734822479.png
1584734822482	32	0.0000	-0.1116	0.0000	0	img_115_1584734822482.png
1584734822485	32	0.0000	0.0000	0.0000	0	img_116_1584734822485.png
1584734822988	32	0.0000	-0.0843	0.0000	0	img_117_1584734822988.png
1584734823010	31	0.0000	-0.2520	0.0000	0	img_118_1584734823010.png
1584734823011	31	0.0000	-0.3835	0.0000	0	img_119_1584734823011.png
1584734823013	31	0.0000	-0.2383	0.0000	0	img_120_1584734823013.png
1584734823014	31	0.1544	-0.0839	0.1544	0	img_121_1584734823014.png
1584734823016	31	0.3468	0.0000	0.3468	0	img_122_1584734823016.png
1584734823018	31	0.5285	0.0000	0.5285	0	img_123_1584734823018.png
1584734823027	31	0.7207	0.0000	0.7207	0	img_124_1584734823027.png
1584734823029	31	0.9115	0.0000	0.9115	0	img_125_1584734823029.png
1584734823532	32	1.0000	0.0000	1.0000	0	img_126_1584734823532.png
1584734823534	33	1.0000	0.0000	1.0000	0	img_127_1584734823534.png
1584734823535	34	1.0000	0.0000	1.0000	0	img_128_1584734823535.png
1584734823536	34	1.0000	0.0000	1.0000	0	img_129_1584734823536.png
1584734823538	35	1.0000	0.0000	1.0000	0	img_130_1584734823538.png
1584734823539	36	1.0000	0.0000	1.0000	0	img_131_1584734823539.png
1584734823540	36	1.0000	0.0000	1.0000	0	img_132_1584734823540.png
1584734823541	37	1.0000	0.0000	1.0000	0	img_133_1584734823541.png
1584734824043	38	1.0000	0.0000	1.0000	0	img_134_1584734824043.png
1584734824046	38	1.0000	0.0000	1.0000	0	img_135_1584734824046.png
1584734824049	39	1.0000	0.0000	1.0000	0	img_136_1584734824049.png
1584734824051	40	1.0000	0.0935	1.0000	1	img_137_1584734824051.png
1584734824054	40	1.0000	0.2730	1.0000	1	img_138_1584734824054.png
1584734824055	41	1.0000	0.4668	1.0000	1	img_139_1584734824055.png
1584734824062	42	1.0000	0.6441	1.0000	1	img_140_1584734824062.png
1584734824063	42	1.0000	0.8136	1.0000	1	img_141_1584734824063.png
1584734824067	42	1.0000	0.9439	1.0000	1	img_142_1584734824067.png
1584734824569	42	1.0000	0.9479	1.0000	1	img_143_1584734824569.png
1584734824571	43	1.0000	0.7713	1.0000	1	img_144_1584734824571.png
1584734824572	43	1.0000	0.6034	1.0000	1	img_145_1584734824572.png
1584734824574	43	1.0000	0.4095	1.0000	1	img_146_1584734824574.png
1584734824575	44	1.0000	0.2165	1.0000	1	img_147_1584734824575.png
1584734824577	44	1.0000	0.0377	1.0000	1	img_148_1584734824577.png
1584734824578	44	1.0000	0.0000	1.0000	1	img_149_1584734824578.png
1584734824579	45	1.0000	0.0000	1.0000	1	img_150_1584734824579.png
1584734825081	45	1.0000	0.0000	1.0000	1	img_151_1584734825081.png
1584734825084	45	1.0000	0.0000	1.0000	1	img_152_1584734825084.png
1584734825087	46	1.0000	0.0000	1.0000	1	img_153_1584734825087.png
1584734825089	46	1.0000	0.0000	1.0000	1	img_154_1584734825089.png
1584734825090	46	0.9187	0.0000	0.9187	1	img_155_1584734825090.png
1584734825092	46	1.0000	0.0000	1.0000	1	img_156_1584734825092.png
1584734825094	46	1.0000	0.0000	1.0000	1	img_157_1584734825094.png
1584734825096	46	0.9614	0.0000	0.9614	1	img_158_1584734825096.png
1584734825098	46	0.7816	-0.1798	0.7816	1	img_159_1584734825098.png
1584734825601	46	0.5889	-0.3725	0.5889	1	img_160_1584734825601.png
1584734825602	46	0.6189	-0.5509	0.6189	1	img_161_1584734825602.png
1584734825603	45	0.4370	-0.7327	0.4370	1	img_162_1584734825603.png
1584734825605	45	0.2426	-0.9272	0.2426	1	img_163_1584734825605.png
1584734825607	44	0.0776	-1.0000	0.0776	1	img_164_1584734825607.png
1584734825609	44	0.0000	-1.0000	0.0000	1	img_165_1584734825609.png
1584734825610	43	0.0000	-1.0000	0.0000	1	img_166_1584734825610.png
1584734825612	41	0.0000	-1.0000	0.0000	1	img_167_1584734825612.png
1584734825614	41	0.0000	-1.0000	0.0000	1	img_168_1584734825614.png
1584734826116	40	0.0000	-1.0000	0.0000	1	img_169_1584734826116.png
1584734826118	38	0.0000	-1.0000	0.0000	0	img_170_1584734826118.png
1584734826119	37	0.0000	-1.0000	0.0000	0	img_171_1584734826119.png
1584734826121	36	0.0000	-1.0000	0.0000	0	img_172_1584734826121.png
1584734826122	34	-0.0481	-1.0000	-0.0481	0	img_173_1584734826122.png
1584734826123	33	-0.2414	-1.0000	-0.2414	0	img_174_1584734826123.png
1584734826125	32	-0.4330	-1.0000	-0.4330	0	img_175_1584734826125.png
1584734826126	30	-0.6247	-1.0000	-0.6247	0	img_176_1584734826126.png
1584734826629	29	-0.7781	-1.0000	-0.7781	0	img_177_1584734826629.png
1584734826630	14	-0.9712	-1.0000	-0.9712	0	img_178_1584734826630.png
1584734826632	15	-0.7913	-0.9457	-0.7913	0	img_179_1584734826632.png
1584734826633	15	-0.6362	-0.7906	-0.6362	0	img_180_1584734826633.png
1584734826634	15	-0.4921	-0.6465	-0.4921	0	img_181_1584734826634.png
1584734826635	15	-0.3450	-0.4994	-0.3450	0	img_182_1584734826635.png
1584734826636	16	-0.1190	-0.2734	-0.1190	0	img_183_1584734826636.png
1584734826637	15	0.0000	-0.0814	0.0000	0	img_184_1584734826637.png
1584734827139	14	0.0000	0.0000	0.0000	0	img_185_1584734827139.png
